T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,650,545,1650,1189.3,500,500,500,
55.00,0.10,770,549.9,2585,2034.8,550,550,550,
60.00,0.10,720,599.5,1560,1259.8,660,600,600,
65.00,0.10,910,650,2600,1559.8,650,650,650,
70.00,0.10,770,700,2520,1323.7,770,840,700,
75.00,0.10,900,824.9,4050,1266.6,825,750,750,
80.00,0.10,1040,791.7,3920,2719.6,880,960,800,
85.00,0.10,1190,850,2805,1257.6,850,850,850,
90.00,0.10,990,989.9,3765.7,1619.8,900,900,900,
95.00,0.10,1520,950,3705,3040,1045,1045,950,
100.00,0.10,1100,999.8,3998.5,2979.8,1000,1000,1000,
