T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,9523,1210124,2879,146466,6335,3054,0,
55.00,0.10,6203,672404,4680,100753,6971,8309,0,
60.00,0.10,16179,341243,2036,38728,5342,8602,0,
65.00,0.10,12609,59305,3234,2053,6263,8540,0,
70.00,0.10,12295,261370,3341,4117,7227,7762,0,
75.00,0.10,7790,526078,5662,65528,8658,7132,0,
80.00,0.10,12583,47806,4386,160656,8394,6981,0,
85.00,0.10,15397,444833,2932,29315,3416,7038,0,
90.00,0.10,7410,672927,3857,11818,7476,7558,0,
95.00,0.10,19313,67506,4351,5169,9709,6444,0,
100.00,0.10,21078,69351,3660,94991,5583,9608,0,
