T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,9684,2036,2782,574,543,5511,
3025.00,0.10,9684,3076,2782,664,581,9357,
3600.00,0.10,9684,1999,2782,573,543,5511,
4225.00,0.10,9684,1921,2782,615,611,5511,
4900.00,0.10,9684,1869,2782,583,581,5511,
5625.00,0.10,9684,1194,2782,543,581,5511,
6400.00,0.10,9684,1897,2782,664,581,5511,
7225.00,0.10,9684,2619,2782,605,581,13065,
8100.00,0.10,9684,2271,2782,663,581,5541,
9025.00,0.10,9684,2046,2782,581,581,5511,
10000.00,0.10,9684,2046,2782,581,581,6039,
