round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,340,
2,560,560,180,180,440,480,
3,720,720,160,160,520,600,
4,880,880,160,160,600,740,
5,1040,1040,160,160,620,760,
6,1200,1200,160,160,660,780,
7,1360,1360,160,160,720,0,
8,1520,1520,142,149,0,0,
9,1680,1680,102,118,0,0,
10,1824,1840,72,100,0,0,
11,1945,2000,60,73,0,0,
12,2050,2160,60,60,0,0,
13,2152,2320,60,60,0,0,
14,2249,2480,60,60,0,0,
15,2319,2620,60,60,0,0,
16,2391,2780,40,60,0,0,
17,2451,2940,20,59,0,0,
18,2514,3080,20,39,0,0,
19,2577,3220,20,20,0,0,
20,2638,3320,20,20,0,0,
21,2678,3480,20,20,0,0,
22,2719,3582,20,20,0,0,
23,2759,3694,20,20,0,0,
24,2787,3816,20,20,0,0,
25,2815,3960,20,20,0,0,
26,2835,4027,20,20,0,0,
27,2859,4107,20,20,0,0,
28,0,4267,1,20,0,0,
29,0,4367,0,20,0,0,
30,0,4487,0,0,0,0,
31,0,4608,0,0,0,0,
32,0,4688,0,0,0,0,
33,0,4788,0,0,0,0,
34,0,4872,0,0,0,0,
35,0,4942,0,0,0,0,
36,0,5004,0,0,0,0,
37,0,5084,0,0,0,0,
38,0,5164,0,0,0,0,
39,0,5216,0,0,0,0,
40,0,5287,0,0,0,0,
41,0,5347,0,0,0,0,
42,0,5411,0,0,0,0,
43,0,5451,0,0,0,0,
44,0,5491,0,0,0,0,
45,0,5515,0,0,0,0,
46,0,5555,0,0,0,0,
47,0,5590,0,0,0,0,
48,0,5611,0,0,0,0,
49,0,5639,0,0,0,0,
50,0,5699,0,0,0,0,
51,0,5723,0,0,0,0,
52,0,5763,0,0,0,0,
53,0,5787,0,0,0,0,
54,0,5811,0,0,0,0,
55,0,5871,0,0,0,0,
56,0,5891,0,0,0,0,
57,0,6011,0,0,0,0,
58,0,6031,0,0,0,0,
59,0,6051,0,0,0,0,
60,0,6073,0,0,0,0,
61,0,6093,0,0,0,0,
62,0,6113,0,0,0,0,
63,0,6173,0,0,0,0,
64,0,6193,0,0,0,0,
65,0,6213,0,0,0,0,
66,0,6233,0,0,0,0,
67,0,6247,0,0,0,0,
68,0,6267,0,0,0,0,
