round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,340,
2,560,560,180,180,440,460,
3,720,720,160,160,520,540,
4,880,880,160,160,600,660,
5,1040,1040,160,160,660,740,
6,1200,1200,160,160,0,760,
7,1360,1360,160,146,0,800,
8,1520,1520,140,140,0,0,
9,1680,1680,81,83,0,0,
10,1840,1840,60,60,0,0,
11,1949,2000,60,60,0,0,
12,2054,2160,60,60,0,0,
13,2136,2320,60,60,0,0,
14,2216,2480,60,40,0,0,
15,2286,2620,20,40,0,0,
16,2348,2780,20,40,0,0,
17,2399,2940,20,40,0,0,
18,2457,3100,20,40,0,0,
19,2505,3260,20,20,0,0,
20,2549,3380,20,20,0,0,
21,2585,3520,20,20,0,0,
22,2605,3660,20,20,0,0,
23,2625,3820,20,20,0,0,
24,2645,3948,13,20,0,0,
25,2665,4028,0,7,0,0,
26,2686,4129,0,0,0,0,
27,2695,4249,0,0,0,0,
28,2696,4296,0,0,0,0,
29,0,4356,0,0,0,0,
30,0,4436,0,0,0,0,
31,0,4516,0,0,0,0,
32,0,4576,0,0,0,0,
33,0,4658,0,0,0,0,
34,0,4718,0,0,0,0,
35,0,4758,0,0,0,0,
36,0,4805,0,0,0,0,
37,0,4865,0,0,0,0,
38,0,4905,0,0,0,0,
39,0,4942,0,0,0,0,
40,0,5022,0,0,0,0,
41,0,5079,0,0,0,0,
42,0,5119,0,0,0,0,
43,0,5179,0,0,0,0,
44,0,5240,0,0,0,0,
45,0,5268,0,0,0,0,
46,0,5348,0,0,0,0,
47,0,5372,0,0,0,0,
48,0,5417,0,0,0,0,
49,0,5477,0,0,0,0,
50,0,5497,0,0,0,0,
51,0,5526,0,0,0,0,
52,0,5575,0,0,0,0,
53,0,5611,0,0,0,0,
54,0,5660,0,0,0,0,
55,0,5686,0,0,0,0,
56,0,5746,0,0,0,0,
57,0,5766,0,0,0,0,
58,0,5786,0,0,0,0,
59,0,5806,0,0,0,0,
60,0,5826,0,0,0,0,
61,0,5846,0,0,0,0,
62,0,5886,0,0,0,0,
63,0,5926,0,0,0,0,
64,0,5966,0,0,0,0,
65,0,5986,0,0,0,0,
66,0,6006,0,0,0,0,
67,0,6046,0,0,0,0,
68,0,6086,0,0,0,0,
69,0,6126,0,0,0,0,
70,0,6146,0,0,0,0,
71,0,6166,0,0,0,0,
72,0,6186,0,0,0,0,
73,0,6206,0,0,0,0,
74,0,6226,0,0,0,0,
75,0,6256,0,0,0,0,
