T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10.00,0.02,1263.3,1316.04,1644,1473.89,308357,161520,
10.00,0.04,1213,1295.55,1567.3,1431.09,242280,168862,
10.00,0.06,1241.4,1247.73,1520.8,1485.4,220255,176204,
10.00,0.08,1153.4,1229.52,1538.9,1398.33,264306,168862,
10.00,0.10,1171.5,1197.64,1553.4,1294.41,242280,198229,
10.00,0.12,1138.4,1083.8,1445.2,1253.57,286331,132153,
10.00,0.14,1155.3,1051.92,1407.3,1259.28,242280,117469,
10.00,0.16,1087.3,1015.49,1363.1,1180.34,242280,110127,
10.00,0.18,1077.6,985.893,1296.3,1122.56,242280,117469,
10.00,0.20,990.5,979.062,1195.1,1024.04,242280,110127,
