T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10000.00,0.01,1500,1100,4100,1500,1099.94,1099.94,
10000.00,0.02,1500,1100,4100,1599.9,1099.94,1099.94,
10000.00,0.03,1500,1100,4100,1599.9,1099.94,1099.94,
10000.00,0.04,1500,1100,4100,1599.9,1099.94,1099.94,
10000.00,0.05,1500,1100,4100,1599.9,1099.94,1099.94,
10000.00,0.06,1500,1100,4100,1599.9,1099.94,1099.94,
10000.00,0.07,1500,1100,4100,1500,1099.94,1099.94,
10000.00,0.08,1500,1100,4100,1599.9,1099.94,1099.94,
10000.00,0.09,1500,1100,4100,1599.9,1099.94,1099.94,
10000.00,0.10,1500,1100,4100,1599.9,1099.94,1099.94,
